date,customer_id,item_id,quantity,selling_price,other_discount,coupon_discount
2023-04-07,276,89,8,579.69,37.15,24.64
2023-02-01,1803,74,1,236.79,77.0,0.22
2023-07-23,2638,58,7,958.13,22.15,9.55
2023-11-03,150,74,10,973.86,45.1,25.62
2023-05-01,2414,28,4,898.84,93.31,7.17
2023-07-29,1139,38,1,415.23,8.57,0.3
2023-10-18,2346,48,9,280.0,74.3,31.29
2023-12-19,2112,80,9,279.29,18.44,12.34
2023-09-04,1521,16,1,466.79,89.63,18.57
2023-08-11,2629,58,4,967.09,29.93,47.07
2023-12-01,1657,36,4,133.12,40.02,18.2
2023-11-13,726,35,6,544.66,38.62,1.59
2023-11-14,1381,15,2,250.58,12.19,25.38
2023-12-10,2142,39,7,922.91,26.42,9.14
2023-04-03,1675,54,3,536.63,8.72,42.87
2023-05-23,1696,47,6,894.93,5.12,35.54
2023-11-19,2705,20,8,39.0,79.4,42.34
2023-05-20,979,61,9,437.73,93.68,13.96
2023-11-20,2283,42,1,988.77,68.77,15.97
2023-07-09,109,48,8,173.06,13.11,10.97
2023-01-28,2303,78,3,105.65,91.43,37.24
2023-05-04,167,43,9,341.37,67.5,42.5
2023-06-21,942,81,10,163.07,44.7,6.31
2023-01-24,1067,89,1,694.1,54.02,4.03
2023-10-19,1300,36,5,474.95,3.92,2.51
2023-02-23,962,54,10,863.17,8.42,34.49
2023-11-06,2159,83,7,294.14,11.79,40.65
2023-10-26,2379,55,8,269.92,65.31,9.92
2023-12-01,1847,63,5,123.91,29.85,7.05
2023-07-29,855,86,7,917.55,43.1,32.98
2023-06-07,702,45,7,585.11,84.4,30.8
2023-11-06,165,32,6,400.23,61.39,40.08
2023-12-24,2265,96,9,477.31,23.7,23.48
2023-01-28,1430,39,1,562.82,93.43,42.19
2023-03-18,2850,95,1,841.05,39.72,5.01
2023-11-24,351,13,9,940.25,51.91,7.63
2023-03-03,1085,87,1,383.7,93.83,38.61
2023-09-30,338,74,8,375.12,99.24,10.72
2023-11-28,930,13,8,455.52,71.1,44.27
2023-01-31,1645,69,10,862.75,41.13,11.23
2023-07-24,860,49,6,932.1,35.34,43.55
2023-12-19,1572,23,9,859.85,82.41,28.05
2023-11-26,1165,39,5,44.07,91.97,36.32
2023-04-09,563,12,3,574.42,80.08,44.29
2023-03-01,318,25,9,993.32,87.18,21.5
2023-12-16,693,15,2,943.48,60.9,8.19
2023-09-12,2825,65,5,837.9,46.76,5.76
2023-08-07,2747,35,2,952.83,88.5,22.49
2023-12-08,2524,59,9,963.03,75.11,46.14
2023-12-11,1250,86,8,320.61,2.89,26.86
2023-03-20,638,54,5,537.85,78.38,38.66
2023-11-20,16,63,4,600.48,22.23,45.48
2023-12-18,2089,23,8,991.06,81.89,25.62
2023-04-15,1862,24,1,729.66,19.63,5.64
2023-09-02,2235,60,9,191.34,24.11,14.55
2023-11-25,159,28,5,449.83,29.74,28.07
2023-05-23,838,74,1,866.2,58.57,4.3
2023-07-13,2149,97,2,67.38,32.54,6.4
2023-12-28,990,63,7,675.96,60.0,33.38
2023-10-17,1700,66,4,537.01,59.61,41.78
2023-08-03,2952,20,8,220.8,40.46,33.69
2023-04-16,221,58,3,598.29,5.59,2.73
2023-10-08,2791,10,2,211.01,29.08,8.92
2023-01-05,2201,79,5,139.86,55.32,28.66
2023-12-14,1879,99,6,449.77,74.77,11.58
2023-04-19,1881,88,6,474.86,22.46,22.5
2023-12-18,2166,31,4,884.46,45.16,14.68
2023-02-01,1319,93,1,840.36,93.94,20.03
2023-04-24,2072,94,8,304.56,74.31,21.32
2023-09-07,1775,24,7,789.51,40.46,44.49
2023-04-25,1664,45,5,308.29,19.51,7.45
2023-04-09,2677,10,4,985.28,27.39,13.64
2023-08-11,2534,45,4,176.63,58.28,7.53
2023-09-13,19,42,10,302.83,92.25,4.9
2023-04-08,2018,93,4,878.26,71.45,37.71
2023-10-27,348,78,10,173.09,8.2,5.18
2023-02-18,921,86,9,929.19,31.53,27.93
2023-06-26,706,16,8,889.76,48.61,17.86
2023-09-16,2798,61,1,304.61,69.11,9.3
2023-07-26,2048,84,5,861.04,46.8,29.44
2023-12-25,2975,47,4,18.55,55.97,4.87
2023-08-15,617,57,8,951.41,79.38,32.33
2023-09-25,1257,97,5,730.8,18.0,39.76
2023-09-28,355,26,2,924.43,25.81,7.01
2023-07-12,1700,59,4,193.67,41.81,17.55
2023-10-21,855,76,10,137.65,64.89,41.09
2023-04-07,2353,31,3,209.3,34.27,8.08
2023-08-12,191,84,8,929.48,74.42,7.54
2023-12-16,180,33,8,778.52,98.47,39.16
2023-09-29,287,98,7,175.1,54.7,36.67
2023-04-06,2742,23,5,833.72,41.13,36.31
2023-01-24,171,79,3,79.96,13.52,27.86
2023-07-12,2076,33,3,172.22,13.03,31.61
2023-11-16,1210,70,8,967.07,0.61,25.78
2023-04-25,165,62,6,70.76,92.93,30.85
2023-08-31,2033,28,7,376.05,16.24,30.49
2023-03-05,2066,82,4,642.96,31.31,29.54
2023-07-26,1801,18,6,739.94,18.82,41.67
2023-01-23,1611,98,7,568.04,76.51,22.56
2023-05-03,2188,44,4,953.42,18.53,30.51
2023-09-05,238,36,10,442.8,0.3,18.91
2023-04-29,2585,19,10,713.95,56.44,20.65
2023-11-03,712,45,6,579.4,37.04,14.94
2023-09-08,887,33,6,196.47,1.34,8.29
2023-04-04,44,73,5,33.27,32.14,28.74
2023-10-13,2753,20,10,733.16,15.58,13.99
2023-03-30,1318,19,5,117.41,0.42,6.07
2023-06-20,162,90,8,489.84,68.85,18.69
2023-03-11,2758,86,3,799.44,76.9,46.55
2023-08-23,675,88,7,514.57,57.47,41.93
2023-09-30,2584,53,8,378.59,94.63,34.39
2023-01-19,603,72,4,755.28,85.97,29.92
2023-06-02,1699,68,7,782.4,61.14,14.62
2023-12-17,298,14,4,104.17,75.44,40.14
2023-10-01,2629,15,3,293.58,62.72,14.47
2023-05-30,724,42,6,849.2,57.22,24.91
2023-01-28,1862,33,2,311.24,97.62,28.63
2023-09-06,2583,14,3,806.23,52.09,49.32
2023-04-02,561,75,10,256.23,48.14,36.05
2023-10-13,703,48,7,365.4,2.95,28.11
2023-03-28,2348,21,8,899.3,82.33,41.82
2023-12-20,2377,95,3,371.83,96.7,29.82
2023-03-16,2055,79,2,262.08,82.13,24.97
2023-03-11,1351,70,6,274.01,20.71,7.76
2023-12-18,1593,27,9,853.45,82.61,4.12
2023-04-30,468,60,1,189.09,83.36,25.41
2023-08-27,2199,96,4,393.2,41.74,9.33
2023-07-16,360,89,4,793.36,87.91,49.28
2023-07-29,1840,77,6,472.65,76.11,0.98
2023-09-28,1437,52,10,118.13,69.81,29.5
2023-12-17,1187,50,7,87.97,34.5,49.29
2023-10-04,667,78,4,769.0,78.56,7.59
2023-04-30,1741,57,1,888.29,46.8,38.75
2023-01-09,250,36,4,352.62,63.25,44.82
2023-08-23,1029,55,3,232.88,72.21,28.7
2023-09-01,1244,42,2,93.61,21.32,36.16
2023-10-12,1560,67,4,866.09,16.46,29.97
2023-12-22,1298,85,3,251.44,76.69,29.01
2023-02-26,336,91,8,891.54,98.68,2.73
2023-07-22,2227,66,7,732.08,69.82,38.82
2023-07-23,739,91,8,186.01,8.11,25.52
2023-08-26,918,96,10,264.87,5.16,8.28
2023-04-15,1544,58,6,579.32,55.93,48.46
2023-05-31,61,40,1,870.87,48.02,39.26
2023-07-05,2123,44,1,136.22,77.75,22.39
2023-11-24,908,63,1,869.33,88.0,3.32
2023-10-23,664,46,5,273.01,23.58,39.01
2023-03-28,151,84,5,460.49,4.09,33.02
2023-02-14,822,15,5,293.97,34.88,20.99
2023-10-13,268,34,2,664.4,20.69,29.45
2023-11-29,1549,79,6,935.47,72.79,18.97
2023-05-27,2893,60,5,846.53,80.41,18.49
2023-08-07,2794,78,9,18.11,97.54,28.01
2023-05-16,198,43,10,346.5,28.87,44.51
2023-06-21,104,18,5,23.24,1.44,22.08
2023-06-01,879,27,3,26.0,37.59,36.23
2023-08-03,693,35,8,706.73,89.38,27.26
2023-11-06,2568,63,1,606.91,52.96,8.56
2023-03-14,48,64,8,347.82,55.53,43.77
2023-06-26,1450,98,3,349.26,61.91,18.82
2023-02-14,2617,78,3,34.15,58.71,27.61
2023-06-23,779,10,5,545.15,19.25,40.38
2023-07-02,372,46,10,926.21,0.2,6.74
2023-09-10,71,90,2,812.3,33.35,39.03
2023-07-27,491,95,1,181.93,37.38,0.76
2023-04-09,579,85,2,28.25,5.02,36.01
2023-04-26,107,86,10,611.71,67.22,19.64
2023-11-25,2602,75,3,795.33,7.7,21.36
2023-05-30,2740,25,5,590.28,58.0,3.58
2023-09-07,240,74,7,527.2,89.02,0.66
2023-07-03,57,92,2,460.7,58.37,6.89
2023-01-16,2873,49,7,468.15,70.91,21.43
2023-08-07,1437,50,2,328.81,22.27,20.8
2023-08-29,1603,40,10,214.06,13.38,44.1
2023-08-04,2952,38,10,890.08,29.05,8.4
2023-03-07,629,25,2,795.37,36.08,33.48
2023-10-11,1218,55,6,162.33,74.55,2.96
2023-03-03,1988,32,6,384.46,82.46,43.12
2023-05-27,2582,93,1,450.56,2.07,36.78
2023-06-19,1852,41,8,618.74,73.02,7.05
2023-11-22,2583,66,1,447.21,65.22,35.89
2023-04-29,1109,14,10,575.34,26.51,46.95
2023-09-06,1097,62,5,266.91,1.83,14.88
2023-02-02,1419,33,5,174.61,11.89,48.29
2023-02-12,2705,48,6,13.65,87.98,47.31
2023-09-22,2223,27,1,302.96,92.88,15.83
2023-01-22,1148,79,5,114.87,99.59,20.22
2023-08-28,1983,35,6,762.67,90.21,10.9
2023-05-12,459,16,3,709.86,58.81,49.15
2023-09-03,246,72,3,903.46,21.19,8.56
2023-09-10,2586,17,5,144.3,52.97,48.65
2023-09-25,2507,60,1,340.94,85.61,39.1
2023-12-04,381,67,7,103.89,13.49,34.86
2023-12-13,1910,56,4,273.55,25.44,18.0
2023-10-16,151,33,9,747.3,67.34,15.39
2023-08-02,1738,90,6,970.77,43.02,9.91
2023-02-07,637,88,1,786.23,86.94,16.03
2023-07-03,782,22,8,637.86,83.54,13.91
2023-05-16,1131,47,9,838.01,60.05,29.77
2023-09-14,599,28,3,115.42,48.71,16.44
2023-08-27,2188,40,9,842.74,35.93,17.21
2023-12-21,162,56,3,392.97,0.32,41.14
2023-12-10,1101,72,3,372.45,24.64,5.1
2023-09-12,2903,39,2,249.98,40.95,32.42
2023-04-22,2155,63,8,170.18,70.72,18.9
2023-11-13,1775,91,8,718.56,49.03,3.47
2023-12-11,2505,40,7,961.78,65.3,24.37
2023-09-23,2098,21,2,576.4,82.36,24.67
2023-08-20,2367,38,1,889.05,5.2,0.34
2023-11-09,786,11,1,151.85,67.12,47.56
2023-06-02,1722,42,5,45.11,28.4,28.58
2023-07-07,152,81,8,521.16,98.99,5.03
2023-07-11,901,10,8,224.7,21.11,47.24
2023-04-24,569,55,1,243.25,93.23,25.94
2023-04-15,1866,44,8,408.0,61.36,31.22
2023-05-13,546,91,3,888.75,29.97,28.96
2023-04-09,1176,45,9,224.17,22.31,33.29
2023-12-12,2120,51,10,943.21,6.57,5.72
2023-07-31,1658,97,6,232.73,83.46,19.63
2023-03-12,1602,34,6,533.12,34.36,19.19
2023-02-14,1446,75,2,916.02,50.77,37.87
2023-03-12,2059,46,6,211.52,25.56,40.83
2023-07-09,133,88,7,540.05,24.38,10.85
2023-02-04,640,93,4,680.21,35.62,49.81
2023-07-05,2165,26,5,374.1,84.11,10.44
2023-10-20,56,49,5,788.93,29.8,16.42
2023-12-10,342,11,1,883.26,5.38,16.12
2023-07-21,797,72,7,924.92,76.38,21.0
2023-01-21,1313,69,4,537.13,77.36,23.9
2023-02-09,218,80,10,113.67,59.54,30.79
2023-12-09,1236,87,6,97.8,82.4,41.12
2023-03-12,479,68,2,375.94,64.09,45.64
2023-10-12,2347,51,8,850.55,52.33,36.46
2023-05-20,16,17,6,793.67,73.66,33.92
2023-01-03,882,44,3,20.65,2.31,10.74
2023-07-20,2041,44,6,357.53,13.38,30.13
2023-10-15,943,22,4,309.54,39.0,10.24
2023-07-27,770,32,9,635.72,93.44,34.2
2023-08-12,1046,83,6,102.94,44.03,10.04
2023-03-13,2150,72,8,416.66,68.75,27.25
2023-07-28,2673,18,2,579.28,66.35,35.1
2023-09-03,1134,61,6,936.82,9.71,44.09
2023-01-06,871,66,4,162.25,55.26,15.13
2023-06-02,409,73,1,545.34,13.47,25.09
2023-05-05,875,26,8,884.4,48.0,12.37
2023-01-16,21,94,4,946.31,20.69,17.72
2023-04-11,1913,49,8,109.54,74.0,37.13
2023-07-29,1118,30,7,110.2,91.48,24.27
2023-05-24,1246,86,9,128.74,30.91,49.83
2023-02-09,2009,43,8,974.27,88.14,18.2
2023-03-26,2075,92,3,252.86,71.39,37.38
2023-08-07,81,98,4,373.05,31.35,41.03
2023-03-14,2779,47,3,202.76,1.6,46.5
2023-07-09,2897,45,3,804.99,26.46,17.92
2023-02-09,2002,67,8,920.35,90.21,26.77
2023-12-29,314,35,3,228.14,59.26,40.26
2023-12-04,1020,78,9,906.72,0.53,42.9
2023-10-10,449,29,7,190.64,38.04,41.86
2023-08-22,2931,94,2,780.34,73.16,34.77
2023-02-21,181,70,5,814.65,94.97,43.66
2023-09-06,1973,84,4,830.36,45.93,10.86
2023-08-29,1222,25,2,628.1,92.83,0.43
2023-12-19,1402,53,7,989.09,91.76,13.82
2023-05-22,95,39,8,66.21,8.85,12.47
2023-09-16,1859,22,9,454.46,34.95,29.83
2023-11-02,2530,11,5,505.73,23.59,24.89
2023-12-18,767,16,2,511.89,73.93,30.23
2023-12-28,101,90,6,91.67,2.31,24.06
2023-02-26,2533,83,2,817.76,25.45,21.45
2023-01-02,2524,13,3,154.33,2.28,43.03
2023-06-27,1821,38,2,617.88,49.44,43.34
2023-04-25,2823,19,9,635.89,95.5,49.38
2023-08-26,2925,88,7,875.94,16.52,33.92
2023-05-13,2426,52,8,748.7,93.37,23.58
2023-03-09,1571,27,8,218.38,6.31,10.25
2023-10-14,2038,62,5,687.36,7.1,3.72
2023-11-22,2396,34,4,689.17,82.54,30.86
2023-03-24,318,91,5,616.81,24.91,48.13
2023-03-25,587,79,9,731.65,1.82,33.03
2023-11-15,1721,47,2,162.62,72.73,13.83
2023-06-03,2358,18,4,777.03,67.39,10.2
2023-03-19,121,65,2,839.98,53.19,9.0
2023-10-22,1992,94,7,457.36,78.88,12.14
2023-01-13,1583,64,2,514.67,28.77,23.83
2023-04-10,1915,99,3,762.05,38.39,17.99
2023-07-03,2409,16,6,536.96,75.42,2.76
2023-08-17,1008,22,8,343.5,49.02,24.41
2023-09-29,102,54,3,170.65,49.92,26.17
2023-06-03,917,27,6,998.44,57.83,30.71
2023-09-25,2164,95,1,619.34,9.7,30.46
2023-09-21,1765,64,5,597.7,45.96,23.46
2023-02-04,2311,96,6,848.71,98.43,20.0
2023-10-03,885,86,10,650.09,26.82,38.47
2023-10-26,36,24,2,236.71,17.38,15.97
2023-01-07,1289,31,4,260.6,16.85,27.0
2023-01-12,1961,14,9,876.45,85.98,15.73
2023-04-24,2076,17,8,690.84,41.38,8.54
2023-10-31,361,32,4,691.69,10.58,27.23
2023-04-11,1553,72,5,646.22,85.17,4.23
2023-11-30,1823,92,3,408.82,74.8,13.03
2023-07-04,2326,19,4,912.36,20.72,47.37
2023-11-11,830,56,9,206.1,61.23,21.52
2023-03-09,2101,98,8,230.44,16.4,17.44
2023-07-22,2792,80,6,932.56,42.11,1.1
2023-05-06,1799,49,8,621.66,66.29,18.55
2023-05-06,2188,51,7,894.91,85.25,42.28
2023-05-05,926,82,9,882.69,43.28,40.38
2023-04-13,1946,89,9,924.94,78.37,19.62
2023-02-01,1954,66,2,442.52,17.94,16.53
2023-04-04,1175,62,2,656.23,36.76,20.7
2023-06-24,2495,90,2,180.04,44.46,10.31
2023-05-18,2396,35,1,32.07,37.12,23.86
2023-02-26,612,14,7,271.42,71.91,37.78
2023-06-30,107,44,3,424.74,35.11,4.02
2023-07-07,783,92,4,353.17,25.77,44.42
2023-04-28,1127,33,4,276.62,9.0,38.98
2023-11-07,1046,35,2,858.62,78.16,33.01
2023-10-30,1479,25,2,923.19,42.96,29.23
2023-08-13,2780,32,10,541.67,81.27,37.68
2023-01-11,259,75,2,685.41,68.53,21.96
2023-08-28,1511,29,9,607.19,11.93,42.59
2023-03-18,232,12,4,25.85,83.24,13.61
2023-11-24,2587,65,7,835.66,40.47,24.58
2023-05-07,2420,37,6,97.1,58.41,9.09
2023-11-13,817,45,2,884.12,5.07,29.24
2023-09-26,985,76,8,597.27,44.71,49.99
2023-02-28,479,58,5,831.39,99.37,20.49
2023-07-09,1943,27,7,896.66,63.22,38.48
2023-06-08,1678,45,10,546.09,12.44,49.26
2023-08-07,2994,35,7,922.11,50.83,2.31
2023-12-10,1166,24,5,178.79,77.87,10.06
2023-04-04,1809,15,4,798.68,95.6,45.38
2023-12-24,2558,11,5,713.79,81.28,7.41
2023-11-02,2343,23,8,364.18,43.68,20.17
2023-02-03,1644,42,1,807.24,97.03,6.28
2023-07-26,2373,87,1,294.99,15.53,8.91
2023-07-30,456,52,4,809.25,30.2,36.05
2023-02-09,944,40,7,724.08,55.67,18.41
2023-04-03,113,38,6,989.17,95.46,20.89
2023-02-13,2616,12,4,493.12,31.42,11.36
2023-06-07,2360,32,10,843.63,25.64,4.03
2023-09-07,219,60,4,575.51,98.56,4.5
2023-11-04,762,20,10,818.69,37.46,44.14
2023-03-05,1504,96,6,764.64,75.91,25.03
2023-05-06,2279,51,3,243.58,26.64,16.53
2023-10-23,909,62,5,241.72,64.48,10.59
2023-05-24,1110,65,9,817.93,66.03,39.74
2023-05-12,1391,22,3,179.19,45.08,8.75
2023-03-10,2767,48,9,79.5,77.87,44.42
2023-12-09,681,35,4,905.39,70.98,15.23
2023-02-27,2263,35,4,50.42,60.94,34.33
2023-12-11,740,82,2,564.52,49.51,25.31
2023-07-20,2689,38,2,882.85,34.5,21.01
2023-10-28,1715,72,6,824.37,73.45,40.32
2023-05-30,1709,85,3,745.44,70.97,12.97
2023-10-27,647,35,7,56.58,22.26,10.81
2023-03-21,2084,46,7,461.71,33.93,23.44
2023-01-15,1473,94,7,410.27,10.38,7.01
2023-02-08,559,67,9,123.16,31.08,30.46
2023-01-21,1128,89,6,117.57,78.67,4.56
2023-07-20,1625,22,2,209.81,81.2,1.25
2023-10-02,215,45,5,298.75,37.2,31.63
2023-10-16,2400,29,7,912.83,16.75,23.82
2023-03-30,2211,17,6,131.79,37.15,27.0
2023-07-24,2553,51,1,957.1,64.99,47.07
2023-09-09,1997,81,8,560.66,46.29,36.89
2023-12-23,247,69,9,297.26,88.43,25.33
2023-10-22,2742,34,1,802.16,4.91,48.28
2023-02-25,900,25,1,195.26,75.16,49.03
2023-09-25,1118,92,4,263.94,37.08,13.93
2023-09-25,324,52,4,313.3,98.14,17.5
2023-11-14,1220,41,3,449.92,36.41,33.18
2023-04-29,2218,19,1,178.22,14.16,34.58
2023-03-28,2016,54,8,661.78,58.46,12.35
2023-09-12,175,72,3,512.68,62.86,31.61
2023-11-30,1658,99,5,667.31,8.2,42.75
2023-06-11,2654,63,6,506.17,65.14,21.86
2023-10-21,2583,82,7,85.61,73.27,18.27
2023-07-15,2617,87,7,572.02,24.84,43.37
2023-01-19,1232,39,6,474.41,53.28,16.36
2023-02-15,2234,26,3,695.53,39.05,23.79
2023-06-14,2045,97,6,35.87,54.42,18.49
2023-01-15,2476,91,5,828.61,34.34,48.54
2023-07-11,1478,25,9,807.62,85.47,34.94
2023-08-30,231,43,2,934.93,95.55,32.66
2023-11-02,1708,62,10,429.68,5.94,13.76
2023-12-09,536,68,7,330.47,53.99,1.82
2023-07-24,2749,48,3,814.77,5.45,10.47
2023-07-24,800,59,7,483.97,64.62,14.08
2023-05-24,1735,61,3,783.91,97.88,10.46
2023-12-17,421,57,4,648.45,4.16,8.51
2023-10-16,2423,39,6,878.31,10.56,5.61
2023-11-14,2148,20,4,48.55,76.5,41.84
2023-09-11,1200,70,4,639.22,8.79,5.34
2023-05-06,2386,26,4,497.07,39.3,44.09
2023-08-13,2625,57,3,775.57,47.24,4.76
2023-07-15,517,65,8,342.74,56.27,15.19
2023-02-21,2683,15,3,93.19,78.36,48.77
2023-06-15,1835,50,3,262.06,49.88,45.65
2023-03-13,1263,43,2,611.67,70.08,24.72
2023-09-22,27,29,2,161.01,31.35,38.93
2023-05-27,1599,33,9,778.57,88.2,16.37
2023-07-05,814,99,10,988.78,86.26,32.19
